Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-1.4383	-3.8936	-1.3356	 0.3960	-0.2850	-0.1658	 0.8493	 0.0545	-4.0335	-0.0315	-0.0147	-0.0085	 1.4731	 0.0000	 2.4009	 0.0000	 0.0000	 0.0000	 0.9629	-0.0545	-0.7900	 0.0315	 0.0147	 0.0085
-0.7589	-3.3267	-2.2629	 0.3603	-0.1837	-0.1458	 0.8480	 0.0483	-4.0424	-0.0372	-0.0205	-0.0093	 1.5268	 0.0000	 2.4894	 0.0000	 0.0000	 0.0000	 0.3551	-0.0483	 0.2765	 0.0372	 0.0205	 0.0093
-0.4063	-4.1978	-4.5881	 0.3965	-0.1713	-0.1553	 0.8516	 0.0417	-4.0341	-0.0468	-0.0135	 0.0009	 1.5804	 0.0000	 2.5778	 0.0000	 0.0000	 0.0000	 0.0510	-0.0417	 2.6853	 0.0468	 0.0135	-0.0009
-3.2327	-2.4841	-0.3370	 0.3153	-0.6446	-0.1035	 0.8462	 0.0401	-4.0341	-0.0626	-0.0220	-0.0120	 1.6358	 0.0000	 2.6692	 0.0000	 0.0000	 0.0000	 2.9518	-0.0401	-1.4702	 0.0626	 0.0220	 0.0120
-1.0336	-4.0714	-5.6354	 0.4261	-0.1868	-0.1488	 0.8511	 0.0348	-4.0333	-0.0429	-0.0202	-0.0171	 1.6918	 0.0000	 2.7615	 0.0000	 0.0000	 0.0000	 0.8047	-0.0348	 3.9368	 0.0429	 0.0202	 0.0171
-0.2103	-3.6516	-2.4481	 0.3852	-0.1255	-0.1296	 0.8461	 0.0344	-4.0371	-0.0638	-0.0140	-0.0119	 1.7484	 0.0000	 2.8550	 0.0000	 0.0000	 0.0000	 0.0509	-0.0344	 0.8578	 0.0638	 0.0140	 0.0119
-0.9223	-4.1839	-3.4774	 0.4395	-0.2773	-0.1350	 0.8463	 0.0286	-4.0397	-0.0500	-0.0122	-0.0060	 1.8067	 0.0000	 2.9511	 0.0000	 0.0000	 0.0000	 0.8296	-0.0286	 2.0145	 0.0500	 0.0122	 0.0060
-0.7358	-4.2647	-6.4120	 0.3979	-0.1366	-0.1758	 0.8507	 0.0410	-4.0373	-0.0316	-0.0153	-0.0050	 1.8649	 0.0000	 3.0472	 0.0000	 0.0000	 0.0000	 0.6709	-0.0410	 4.9932	 0.0316	 0.0153	 0.0050
 0.1633	-3.6136	-3.4268	 0.4071	-0.0689	-0.1518	 0.8451	 0.0400	-4.0361	-0.0340	-0.0154	-0.0154	 1.9251	 0.0000	 3.1467	 0.0000	 0.0000	 0.0000	-0.1519	-0.0400	 2.1080	 0.0340	 0.0154	 0.0154
-0.6759	-3.8820	-3.3879	 0.3731	-0.1857	-0.1210	 0.8544	 0.0360	-4.0348	-0.0674	-0.0244	-0.0127	 1.9857	 0.0000	 3.2466	 0.0000	 0.0000	 0.0000	 0.7321	-0.0360	 2.1709	 0.0674	 0.0244	 0.0127
